1	fr	Des voix ont en effet continué de s'élever hier contre ce projet, tant dans le camp républicain que démocrate. 
2	fr	Le mauvais du temps s'est acharné sur cette foire, puisque finalement deux fêtes sur trois n'ont pas pu avoir lieu. 
3	fr	En mars, elle aura fini ses tâches et disparaîtra ensuite, car cette expérience doit avoir une durée temporelle précise. 
4	fr	Elle lui demande si elle est ici pour rendre visite à quelqu'un et elle lui dit qu'elle lui répondra dans quelques instants. 
5	fr	Le constructeur brésilien espère beaucoup du marché chinois notamment pour ses avions de la gamme allant de 30 à 120 sièges. 
6	fr	Le cinéma des années 50 et 60 nous enchante et nous nous en inspirons beaucoup pour nos collections. 
7	fr	Ceux de Boulogne-sur-Mer ont décidé d'attendre la tenue de la réunion de mercredi au ministère pour décider d'éventuelles actions. 
8	fr	Ils y vont de nuit, restent la journée à la fête, et rentrent à 22h30. 
9	fr	Depuis presque 18 ans, la sonde spatiale "Ulysses" vole dans l'espace. 
10	fr	Selon l'article, les ravisseurs voulaient libérer les otages féminines après le paiement de la rançon. 
11	fr	Un rat ou un cafard fuit devant le danger, est-ce-que ça veut dire qu' il ressent aussi de la peur? 
12	fr	Les autorités Thaï le bloquèrent au contrôle des passeports, et à la fin, il partit à Hong Kong. 
13	fr	Dans la ville suédoise, les prix des hôtels se tiennent avec une hausse de 26,3 pour cent, le record en Europe. 
14	fr	Les danseurs aiment beaucoup bien s'habiller pour les cours et les tests, pour se regarder dans le miroir et se sentir bien. 
15	fr	Trois bus sont réservés avant tout pour les italiens, dans un des bus voyagent des brésilens exclusivement. 
